Health Service Area,HSA_Code,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Schuylkill, PA - Northumberland, PA(6)",8,553.8,540,567.9,N/A , N/A , N/A,1288,stable,-0.3,-0.9,0.2
"Calcasieu (Lake Charles), LA - Vernon, LA(7)",470,553.7,538,569.8,N/A , N/A , N/A,1000,falling,-0.9,-1.2,-0.5
"Oneida (Utica), NY - Madison, NY(7)",59,553.4,539.7,567.5,N/A , N/A , N/A,1317,falling,-0.6,-1,-0.3
"Bedford, TN(6)",260,553.3,512.6,596.4,N/A , N/A , N/A,148,stable,0.6,-0.6,1.9
"Terrebonne (Houma), LA - Lafourche, LA(7)",467,553.2,534.7,572.3,N/A , N/A , N/A,719,stable,-1.6,-5,0
"Onslow, NC - Craven, NC(6)",242,552.7,538.1,567.6,N/A , N/A , N/A,1169,falling,-0.9,-1.4,-0.4
"Ouachita (Monroe), LA - Morehouse, LA(7)",443,552.3,534.5,570.6,N/A , N/A , N/A,775,falling,-0.6,-1.2,-0.1
"Wichita (Wichita Falls), TX - Montague, TX(7)",420,552.3,532.7,572.4,N/A , N/A , N/A,635,rising,2,0.7,4.9
"Sioux, IA(7)",672,552.2,505.5,602.1,N/A , N/A , N/A,108,falling,-0.8,-1.4,-0.2
"Washington, GA - Jefferson, GA(7)",250,552.1,506.5,600.9,N/A , N/A , N/A,119,stable,-0.3,-0.8,0.3
"Bibb (Macon), GA - Houston, GA(7)",193,551.9,538.5,565.5,N/A , N/A , N/A,1387,falling,-0.7,-1,-0.3
"Duval (Jacksonville), FL - Clay, FL(6)",158,551.6,543.5,559.7,N/A , N/A , N/A,3913,falling,-1.2,-2.8,-0.8
"Cape Girardeau, MO - Butler, MO(6)",944,551,535.2,567.2,N/A , N/A , N/A,965,stable,0,-0.5,0.5
"Jones, MS - Wayne, MS(6)",455,550.6,525.9,576.4,N/A , N/A , N/A,397,stable,0.1,-0.6,0.8
"Minnehaha (Sioux Falls), SD - Lincoln, SD(6)",939,550.2,533.3,567.5,N/A , N/A , N/A,889,falling,-0.8,-1.2,-0.3
"Guthrie, IA - Greene, IA(7)",617,549.9,494.9,610.1,N/A , N/A , N/A,80,stable,0.2,-0.3,0.7
"Howard, IA(7)",552,549.8,471.3,638.8,N/A , N/A , N/A,38,stable,0.2,-1,1.4
"Union, IL - Alexander, IL(7)",563,549.5,504.6,597.8,N/A , N/A , N/A,119,stable,-0.2,-1.2,0.8
"Webster, IA - Humboldt, IA(7)",585,548.5,513.7,585.2,N/A , N/A , N/A,200,falling,-0.6,-1,-0.2
"Letcher, KY(7)",123,548.4,493,608.8,N/A , N/A , N/A,80,stable,-0.7,-1.7,0.2
"Lewis and Clark, MT - Jefferson, MT(6)",721,547.4,520,576.1,N/A , N/A , N/A,336,stable,1.1,-1.2,5
"Lyon, IA(7)",544,547.4,473.4,630.3,N/A , N/A , N/A,41,stable,-0.3,-0.9,0.4
"Caddo (Shreveport), LA - Bossier, LA(7)",416,547.2,534.9,559.8,N/A , N/A , N/A,1579,falling,-2.5,-5.2,-0.2
"St. Johns (St. Augustine), FL - Putnam, FL(6)",251,547,533.4,560.9,N/A , N/A , N/A,1314,falling,-0.8,-1.2,-0.3
"Harrison (Biloxi), MS - Hancock, MS(6)",456,546.9,530.1,564.1,N/A , N/A , N/A,866,stable,-0.5,-1.2,0.2
"Madison (Alton), IL - Jersey, IL(7)",299,546.5,531.1,562.1,N/A , N/A , N/A,1028,falling,-0.7,-1.2,-0.2
"Franklin, KY - Anderson, KY(7)",114,546.2,517,576.7,N/A , N/A , N/A,283,falling,-1,-1.4,-0.6
"St. Lawrence, NY - Jefferson, NY(7)",80,545.5,528.3,563.2,N/A , N/A , N/A,803,falling,-1.1,-1.6,-0.5
"Grenada, MS - Montgomery, MS(6)",502,545.3,505.7,587.5,N/A , N/A , N/A,152,stable,-8.6,-15.6,0
"Phillips, AR(6)",537,545.1,480.8,616.1,N/A , N/A , N/A,57,stable,1.2,0,2.5
"Milwaukee (Milwaukee), WI - Waukesha, WI(6)",280,545.1,537.9,552.2,N/A , N/A , N/A,4799,stable,0.8,-0.2,2.2
"Fulton, KY(7)",181,544.9,448.2,657.9,N/A , N/A , N/A,24,stable,-0.4,-2.1,1.3
"Strafford (Rochester), NH(6)",879,544.9,520.1,570.5,N/A , N/A , N/A,395,stable,-0.9,-1.7,0
"Highland, OH - Clinton, OH(6)",372,544.6,516,574.3,N/A , N/A , N/A,291,stable,-0.1,-1,0.8
"Brevard (Palm Bay), FL - Indian River, FL(6)",237,544.1,535.5,552.9,N/A , N/A , N/A,3421,falling,-0.7,-1.1,-0.3
"Effingham, IL - Fayette, IL(7)",363,544,509.3,580.4,N/A , N/A , N/A,194,falling,-1,-1.7,-0.3
"Moore, NC - Richmond, NC(6)",205,543.9,526.4,562,N/A , N/A , N/A,762,stable,-0.7,-1.4,0
"Clallam, WA - Jefferson, WA(7)",785,543.6,522,566,N/A , N/A , N/A,586,stable,-0.3,-0.7,0.1
"Suffolk, NY - Nassau, NY(7)",83,543.6,538.6,548.6,N/A , N/A , N/A,9612,falling,-1.1,-1.9,-0.8
"Cerro Gordo, IA - Kossuth, IA(7)",556,543.3,518.2,569.5,N/A , N/A , N/A,385,stable,0.2,-0.1,0.5
"Lowndes, GA - Brooks, GA(7)",180,543.1,521.2,565.7,N/A , N/A , N/A,493,stable,-0.5,-1.1,0
"Morgan, GA - Greene, GA(7)",164,542.9,503.6,584.9,N/A , N/A , N/A,162,stable,-0.4,-0.9,0.3
"Wapello, IA - Mahaska, IA(7)",589,542.7,516.9,569.7,N/A , N/A , N/A,357,falling,-0.3,-0.6,-0.1
"Jefferson, IL - Wayne, IL(7)",335,542.7,508.7,578.5,N/A , N/A , N/A,200,falling,-0.7,-1.4,-0.1
"Hinds (Jackson), MS - Rankin, MS(6)",411,542.6,530.8,554.6,N/A , N/A , N/A,1738,stable,0,-0.6,0.9
"Colquitt, GA(7)",254,542.2,501,586,N/A , N/A , N/A,136,falling,-1.2,-2.2,-0.1
"Marinette, WI - Florence, WI(6)",912,541.7,507.7,577.8,N/A , N/A , N/A,215,stable,-0.1,-0.8,0.6
"Nemaha, NE(6)",687,541.5,448.1,650.1,N/A , N/A , N/A,26,stable,0.4,-2,2.9
"Smith (Tyler), TX - Henderson, TX(7)",441,541.3,528.7,554.3,N/A , N/A , N/A,1466,stable,0.7,-1.5,2.8
"Otter Tail, MN - Grant, MN(6)",582,541.1,511.9,571.7,N/A , N/A , N/A,289,stable,-0.4,-1.1,0.2
"Gregg (Longview), TX - Rusk, TX(7)",454,540.9,523.3,559,N/A , N/A , N/A,752,stable,-2.1,-4.3,0.4
"Mason, WV(6)",904,540.8,492.5,593.1,N/A , N/A , N/A,101,stable,-0.6,-1.6,0.4
"Saratoga, NY - Schenectady (Schenectady), NY(7)",88,540.6,529.3,552.1,N/A , N/A , N/A,1858,falling,-0.8,-1.2,-0.3
"Brown, MN - Renville, MN(6)",602,540.6,507.4,575.6,N/A , N/A , N/A,214,stable,0.1,-0.6,0.9
"Roosevelt, MT - Valley, MT(6)",779,540.3,477.7,609.1,N/A , N/A , N/A,59,stable,-0.4,-1.7,0.9
"Thomas, GA - Mitchell, GA(7)",178,540.3,512.6,569.1,N/A , N/A , N/A,305,stable,2.7,-1.6,5.4
"Harford, MD - Cecil, MD(6)",875,539.6,525.2,554.4,N/A , N/A , N/A,1155,falling,-3.2,-5.5,-0.6
"Alachua (Gainesville), FL - Columbia, FL(6)",159,539.4,527.8,551.3,N/A , N/A , N/A,1727,falling,-1.4,-3,-1
"Madison, MO(6)",663,539.3,470.8,615.9,N/A , N/A , N/A,47,stable,-0.8,-2.6,1.2
"Ramsey, ND - Benson, ND(6)",655,539.1,482.5,600.9,N/A , N/A , N/A,72,stable,-0.7,-2.3,0.9
"Lowndes, MS - Clay, MS(6)",934,539,509.4,570,N/A , N/A , N/A,268,falling,-2,-4.3,-1
"Lehigh (Allentown), PA - Northampton, PA(6)",84,538.8,530.1,547.6,N/A , N/A , N/A,3108,falling,-0.8,-1.1,-0.4
"Fayette (Lexington-Fayette), KY - Jessamine, KY(7)",18,538.7,526.9,550.7,N/A , N/A , N/A,1701,falling,-1,-1.3,-0.7
"La Salle, IL - Livingston, IL(7)",336,538.3,519.7,557.5,N/A , N/A , N/A,674,falling,-1.4,-5.1,-0.7
"Robeson, NC - Columbus, NC(6)",207,538,520.3,556.1,N/A , N/A , N/A,757,falling,-0.8,-1.3,-0.4
"Gilmer, GA - Fannin, GA(7)",173,537.9,507.4,570.1,N/A , N/A , N/A,274,stable,0.6,-0.1,1.3
"Brookings, SD - Kingsbury, SD(6)",610,537.9,491.8,587.1,N/A , N/A , N/A,107,stable,-0.3,-1.2,0.6
"Scott (Davenport), IA - Muscatine, IA(7)",641,537.5,519,556.4,N/A , N/A , N/A,687,stable,-0.4,-0.7,0
"Wood (Parkersburg), WV - Jackson, WV(6)",863,537.4,517.5,558,N/A , N/A , N/A,594,stable,0.7,-0.6,2.8
"Rabun, GA(7)",268,537.4,481.8,599,N/A , N/A , N/A,79,stable,0.8,-0.2,1.9
"Clark (Springfield), OH - Champaign, OH(6)",346,537.2,517.7,557.3,N/A , N/A , N/A,609,stable,-1.9,-4.7,0.3
"Des Moines, IA - Henry, IA(7)",917,537.1,504.6,571.4,N/A , N/A , N/A,216,falling,-0.8,-3.7,-0.3
"Christian (Hopkinsville), KY - Hopkins, KY(7)",45,537.1,517.8,556.9,N/A , N/A , N/A,621,falling,-1,-1.4,-0.7
"Richmond (South Augusta), GA - Columbia, GA(7)",830,536.9,522.6,551.5,N/A , N/A , N/A,1175,stable,-1.9,-4.9,0.7
"Guilford (Greensboro), NC - Davidson, NC(6)",186,536.9,528,546,N/A , N/A , N/A,2916,falling,-1,-3,-0.6
"Mercer, NJ(7)",126,536.8,522.5,551.4,N/A , N/A , N/A,1124,falling,-1,-1.5,-0.6
"Hillsborough (Tampa), FL - Pinellas, FL(6)",227,536.8,532.2,541.3,N/A , N/A , N/A,11178,falling,-0.8,-1,-0.5
"Licking (Newark), OH - Knox, OH(6)",388,536.7,519.3,554.6,N/A , N/A , N/A,771,stable,-0.5,-2.4,0.8
